Time,Object,Error,Delta Error,Left Motor,Right Motor
0.032,1,375,375,-9.333333333333332,15.333333333333336
0.064,22,354,-21,-0.11436170212765925,14.564705882352941
0.096,29,347,-7,-1.154166711586907,15.215615615615615
0.128,55,321,-26,0.78432669044983,14.607960199004976
0.16,80,296,-25,0.5606996523466601,14.58641975308642
0.192,105,271,-25,0.5606996523466601,14.58641975308642
0.224,128,248,-23,0.18604699161217858,14.54282238442822
0.256,164,212,-36,1.9919354838709677,14.81290322580645
0.28800000000000003,196,180,-32,2.0416666666666674,14.733333333333336
0.32,217,159,-21,-0.11436170212765925,14.564705882352941
0.352,245,131,-28,1.3313706392774924,14.650505050505046
0.384,262,114,-17,-0.5281823211038715,14.786761229314422
0.41600000000000004,291,85,-29,1.6703254117265276,14.671501272264631
0.448,308,68,-17,-0.5281823211038715,14.786761229314422
0.48,327,49,-19,0.5413110547339549,14.30048217752544
0.512,343,33,-16,5.866128981727326,11.368024548769164
0.544,351,25,-8,6.307948717948719,10.58037225042301
0.5760000000000001,356,20,-5,6.702772539981843,10.189542483660128
0.608,360,16,-4,7.099299833400875,9.931899641577058
0.64,362,14,-2,7.229868412236466,9.810742013491158
0.672,365,11,-3,7.623343887301475,9.635192588362203
0.704,366,10,-1,7.658802171064944,9.577777777777781
0.736,368,8,-2,7.943978659442245,9.463812436289503
0.768,369,7,-1,8.033080721027586,9.407002747428278
0.8,371,5,-2,8.327053222563636,9.293075684380034
0.8320000000000001,371,5,0,8.26232380502402,9.293075684380034
0.864,372,4,-1,8.431419489080012,9.235690235690235
0.896,373,3,-1,8.57150816665603,9.17783857729138
0.928,373,3,0,8.543047592433778,9.17783857729138
0.96,374,2,-1,8.716062782883826,9.119375573921033
0.992,374,2,0,8.690007666419785,9.119375573921033
1.024,374,2,0,8.690007666419785,9.119375573921033
1.056,374,2,0,8.690007666419785,9.119375573921033
1.088,374,2,0,8.690007666419785,9.119375573921033
1.12,375,1,-1,8.875921682897419,9.06019182008599
1.1520000000000001,375,1,0,8.842115017151277,9.060149381981624
1.184,375,1,0,8.842115017151277,9.060149381981624
1.216,375,1,0,8.842115017151277,9.060149381981624
1.248,375,1,0,8.842115017151277,9.060149381981624
1.28,375,1,0,8.842115017151277,9.060149381981624
1.312,375,1,0,8.842115017151277,9.060149381981624
1.344,375,1,0,8.842115017151277,9.060149381981624
1.3760000000000001,375,1,0,8.842115017151277,9.060149381981624
1.408,375,1,0,8.842115017151277,9.060149381981624
1.44,375,1,0,8.842115017151277,9.060149381981624
1.472,375,1,0,8.842115017151277,9.060149381981624
1.504,375,1,0,8.842115017151277,9.060149381981624
1.536,375,1,0,8.842115017151277,9.060149381981624
1.568,375,1,0,8.842115017151277,9.060149381981624
1.6,375,1,0,8.842115017151277,9.060149381981624
1.6320000000000001,375,1,0,8.842115017151277,9.060149381981624
1.6640000000000001,375,1,0,8.842115017151277,9.060149381981624
1.696,375,1,0,8.842115017151277,9.060149381981624
1.728,375,1,0,8.842115017151277,9.060149381981624
1.76,375,1,0,8.842115017151277,9.060149381981624
1.792,375,1,0,8.842115017151277,9.060149381981624
1.824,375,1,0,8.842115017151277,9.060149381981624
1.856,375,1,0,8.842115017151277,9.060149381981624
1.8880000000000001,375,1,0,8.842115017151277,9.060149381981624
1.92,375,1,0,8.842115017151277,9.060149381981624
1.952,376,0,-1,9.07507218479307,9.000000000000002
1.984,375,1,1,8.632229748555659,9.07507218479307
2.016,376,0,-1,9.07507218479307,9.000000000000002
2.048,375,1,1,8.632229748555659,9.07507218479307
2.08,376,0,-1,9.07507218479307,9.000000000000002
2.112,375,1,1,8.632229748555659,9.07507218479307
2.144,376,0,-1,9.07507218479307,9.000000000000002
2.176,375,1,1,8.632229748555659,9.07507218479307
2.208,376,0,-1,9.07507218479307,9.000000000000002
2.24,375,1,1,8.632229748555659,9.07507218479307
2.2720000000000002,376,0,-1,9.07507218479307,9.000000000000002
2.3040000000000003,375,1,1,8.632229748555659,9.07507218479307
